pathway,frequency_hz,pulse_number,response_mean_percent,response_sem_percent,n_trials,cv
MD,2.0,5,42.0508227791753,0.8515765749955669,30,0.2
MD,2.0,6,38.18085421080022,0.8803597352341971,30,0.2
MD,2.0,7,35.91008827636408,0.9250984188366701,30,0.2
MD,2.0,8,34.5682676422258,0.9652391760250718,30,0.2
MD,2.0,9,33.76959329968855,0.9971000422353083,30,0.2
MD,2.0,10,33.29064028958442,1.0211390764902581,30,0.2
PD,2.0,1,100.0,0.0,30,0.2
PD,2.0,2,92.52891674585207,3.3454950710810154,30,0.2
PD,2.0,3,88.64580653645241,2.691366662362158,30,0.2
PD,2.0,4,87.75650970472499,2.5767681046664674,30,0.2
PD,2.0,5,87.54623239184225,2.556861023871807,30,0.2
PD,2.0,6,87.4949006602198,2.5536283515355183,30,0.2
PD,2.0,7,87.48197680686799,2.5531983766352666,30,0.2
PD,2.0,8,87.47862680275054,2.5531788986553767,30,0.2
PD,2.0,9,87.47773481443306,2.5531959614818343,30,0.2
PD,2.0,10,87.4774914607414,2.553206053825296,30,0.2
DD,5.0,1,100.0,0.0,30,0.2
DD,5.0,2,108.49751877342986,2.6088004486247116,30,0.2
DD,5.0,3,105.38371194358825,2.6225908460284177,30,0.2
DD,5.0,4,103.53847171306757,2.561880892658039,30,0.2
DD,5.0,5,102.7776645119213,2.5402253694534265,30,0.2
DD,5.0,6,102.48874055573229,2.5346721622153714,30,0.2
DD,5.0,7,102.38182782311587,2.5336494019429585,30,0.2
DD,5.0,8,102.34256916106307,2.533640678140369,30,0.2
DD,5.0,9,102.32815839815498,2.5337665823869475,30,0.2
DD,5.0,10,102.3228530566352,2.5338585662991693,30,0.2
MD,5.0,1,100.0,0.0,30,0.2
MD,5.0,2,73.14589216990665,3.4017030590783044,30,0.2
MD,5.0,3,51.951485415856816,1.5299609903086102,30,0.2
MD,5.0,4,38.74618003571735,0.7021599192555832,30,0.2
MD,5.0,5,30.415045302299646,0.43393395379898686,30,0.2
MD,5.0,6,25.092486104837167,0.39084300896585,30,0.2
MD,5.0,7,21.65023295396569,0.38774169758114513,30,0.2
MD,5.0,8,19.397616121530856,0.3885415928182151,30,0.2
MD,5.0,9,17.90669307163795,0.39334977556290385,30,0.2
MD,5.0,10,16.909119944496304,0.4026675813317885,30,0.2
PD,5.0,1,100.0,0.0,30,0.2
PD,5.0,2,79.74456693770675,3.1000085968961626,30,0.2
PD,5.0,3,70.33323545229571,2.1327287954148773,30,0.2
PD,5.0,4,66.45110879618564,1.8647719306936512,30,0.2
PD,5.0,5,64.81842262842659,1.8043872260565113,30,0.2
PD,5.0,6,64.11899109401158,1.798174260478773,30,0.2
PD,5.0,7,63.81418033199797,1.8029189276405244,30,0.2
PD,5.0,8,63.67925796180667,1.8078945722455946,30,0.2
PD,5.0,9,63.61869845326041,1.811250327637448,30,0.2
PD,5.0,10,63.591181450641116,1.8132165819213235,30,0.2
DD,10.0,1,100.0,0.0,30,0.2
DD,10.0,2,118.7022241521934,2.9836458332284486,30,0.2
DD,10.0,3,113.20868865800449,3.0108683512216246,30,0.2
DD,10.0,4,106.20089772216846,2.717160422704915,30,0.2
DD,10.0,5,101.72617947931637,2.583100210934785,30,0.2
DD,10.0,6,99.30494495822235,2.549783799322086,30,0.2
DD,10.0,7,98.07369348467314,2.5512824769076103,30,0.2
DD,10.0,8,97.4640070151939,2.5606185921784417,30,0.2
DD,10.0,9,97.16555216219662,2.569402920689029,30,0.2
DD,10.0,10,97.02002272974192,2.57583259993239,30,0.2
MD,10.0,1,100.0,0.0,30,0.2
MD,10.0,2,70.2982441332304,3.320253231219289,30,0.2
MD,10.0,3,49.224690676777165,1.4841349836195272,30,0.2
MD,10.0,4,35.6116053329876,0.5624002875175866,30,0.2
MD,10.0,5,26.711096970366214,0.34368886975868734,30,0.2
MD,10.0,6,20.825457602210122,0.4217031216023921,30,0.2
MD,10.0,7,16.889251858884013,0.46353818821001086,30,0.2
MD,10.0,8,14.226943641885386,0.4595187837257036,30,0.2
