decay_time,DD_freq,MD_freq,PD_freq,mean_freq,interaction_coefficient,interaction_sem,individual_sum,integrated_response,trace_data
10,10,10,10,10.0,-0.019631830826462294,1.2885202500607364e-18,5.048898970649665,4.949779840197972,"[(0.0, 'DD', 0.2), (0.0, 'MD', 0.2727272727272727), (0.0, 'PD', np.float64(0.297207758410192)), (100.0, 'DD', np.float64(0.2386294909137771)), (100.0, 'MD', np.float64(0.1962675038428668)), (100.0, 'PD', np.float64(0.24196094859538042)), (200.0, 'DD', np.float64(0.22830333865671223)), (200.0, 'MD', np.float64(0.13991550875916559)), (200.0, 'PD', np.float64(0.20164863153411644)), (300.0, 'DD', np.float64(0.21434099545924776)), (300.0, 'MD', np.float64(0.10168234163980001)), (300.0, 'PD', np.float64(0.18004533490659047)), (400.0, 'DD', np.float64(0.20516599868499352)), (400.0, 'MD', np.float64(0.07577924604740802)), (400.0, 'PD', np.float64(0.1688873985854144)), (500.0, 'DD', np.float64(0.20010073039391635)), (500.0, 'MD', np.float64(0.05823026756764059)), (500.0, 'PD', np.float64(0.1631683915959536)), (600.0, 'DD', np.float64(0.19749776388881293)), (600.0, 'MD', np.float64(0.046341090168228384)), (600.0, 'PD', np.float64(0.1602422670937939)), (700.0, 'DD', np.float64(0.19620876065760584)), (700.0, 'MD', np.float64(0.0382863456644496)), (700.0, 'PD', np.float64(0.15874511960593019)), (800.0, 'DD', np.float64(0.19558450470506014)), (800.0, 'MD', np.float64(0.032829373593958766)), (800.0, 'PD', np.float64(0.15797861378559383)), (900.0, 'DD', np.float64(0.1952866534853156)), (900.0, 'MD', np.float64(0.029132354506135362)), (900.0, 'PD', np.float64(0.15758583472263799))]"
10,15,15,15,15.0,-0.020179653971979152,6.442601250303682e-19,4.772847538968416,4.676533127171018,"[(0.0, 'DD', 0.2), (0.0, 'MD', 0.2727272727272727), (0.0, 'PD', np.float64(0.31185941852438753)), (66.66666666666667, 'DD', np.float64(0.2515366774628327)), (66.66666666666667, 'MD', np.float64(0.2036631675962885)), (66.66666666666667, 'PD', np.float64(0.2518252285270765)), (133.33333333333334, 'DD', np.float64(0.2376064281832154)), (133.33333333333334, 'MD', np.float64(0.14190496647286135)), (133.33333333333334, 'PD', np.float64(0.19726952101880074)), (200.0, 'DD', np.float64(0.21346170639031947)), (200.0, 'MD', np.float64(0.09989211204609574)), (200.0, 'PD', np.float64(0.16514792422974872)), (266.6666666666667, 'DD', np.float64(0.19546307059092846)), (266.6666666666667, 'MD', np.float64(0.07172609771967987)), (266.6666666666667, 'PD', np.float64(0.1474468200378829)), (333.33333333333337, 'DD', np.float64(0.1845701390502449)), (333.33333333333337, 'MD', np.float64(0.05285996259435724)), (333.33333333333337, 'PD', np.float64(0.13788626367030377)), (400.0, 'DD', np.float64(0.17851855341322603)), (400.0, 'MD', np.float64(0.04022376069564651)), (400.0, 'PD', np.float64(0.1327634914903238)), (466.6666666666667, 'DD', np.float64(0.17529173865385783)), (466.6666666666667, 'MD', np.float64(0.031760286817942844)), (466.6666666666667, 'PD', np.float64(0.13002847185128324)), (533.3333333333334, 'DD', np.float64(0.17360805097126952)), (533.3333333333334, 'MD', np.float64(0.026091623523750353)), (533.3333333333334, 'PD', np.float64(0.12857071624548647)), (600.0, 'DD', np.float64(0.17274051393348816)), (600.0, 'MD', np.float64(0.022294867780057844)), (600.0, 'PD', np.float64(0.12779427495238949))]"
10,20,20,20,20.0,-0.02182299787483048,1.9327803750911046e-18,4.544883738157931,4.4457007499987595,"[(0.0, 'DD', 0.2), (0.0, 'MD', 0.2727272727272727), (0.0, 'PD', np.float64(0.3296614872817071)), (50.0, 'DD', np.float64(0.25920588189291044)), (50.0, 'MD', np.float64(0.2117527315057721)), (50.0, 'PD', np.float64(0.2604765475068228)), (100.0, 'DD', np.float64(0.24230026402914748)), (100.0, 'MD', np.float64(0.1448001125330863)), (100.0, 'PD', np.float64(0.19357482201504123)), (150.0, 'DD', np.float64(0.20955410744638492)), (150.0, 'MD', np.float64(0.09877989015609978)), (150.0, 'PD', np.float64(0.15352782145902094)), (200.0, 'DD', np.float64(0.18378747666018)), (200.0, 'MD', np.float64(0.06848853480252502)), (200.0, 'PD', np.float64(0.1311470188734008)), (250.0, 'DD', np.float64(0.16775991647739147)), (250.0, 'MD', np.float64(0.048644951535019194)), (250.0, 'PD', np.float64(0.11894459174443606)), (300.0, 'DD', np.float64(0.15874399802071154)), (300.0, 'MD', np.float64(0.03565262585666631)), (300.0, 'PD', np.float64(0.1123731186736704)), (350.0, 'DD', np.float64(0.15390501575474555)), (350.0, 'MD', np.float64(0.02714660173231369)), (350.0, 'PD', np.float64(0.10885843296569261)), (400.0, 'DD', np.float64(0.1513623330972823)), (400.0, 'MD', np.float64(0.021577782460830607)), (400.0, 'PD', np.float64(0.10698648561302702)), (450.0, 'DD', np.float64(0.15003679008733595)), (450.0, 'MD', np.float64(0.017931928666458003)), (450.0, 'PD', np.float64(0.10599220842380494))]"
10,25,25,25,25.0,-0.023917062203109598,1.2885202500607364e-18,4.40293738243882,4.297632055186635,"[(0.0, 'DD', 0.2), (0.0, 'MD', 0.2727272727272727), (0.0, 'PD', np.float64(0.30958998238722735)), (40.0, 'DD', np.float64(0.26424016544112516)), (40.0, 'MD', np.float64(0.21868376666847245)), (40.0, 'PD', np.float64(0.26224355176256764)), (80.0, 'DD', np.float64(0.24491069900558346)), (80.0, 'MD', np.float64(0.14747795326060542)), (80.0, 'PD', np.float64(0.19718398580090496)), (120.0, 'DD', np.float64(0.20512924065989646)), (120.0, 'MD', np.float64(0.09763538475635282)), (120.0, 'PD', np.float64(0.15455984622719554)), (160.0, 'DD', np.float64(0.17290889003659846)), (160.0, 'MD', np.float64(0.06542319369900564)), (160.0, 'PD', np.float64(0.12959647102338034)), (200.0, 'DD', np.float64(0.15271323260881908)), (200.0, 'MD', np.float64(0.044861101885189776)), (200.0, 'PD', np.float64(0.11562497217249229)), (240.0, 'DD', np.float64(0.1414304055315597)), (240.0, 'MD', np.float64(0.031761967846314715)), (240.0, 'PD', np.float64(0.10799275585188972)), (280.0, 'DD', np.float64(0.13546083389404118)), (280.0, 'MD', np.float64(0.02341990087412861)), (280.0, 'PD', np.float64(0.10388015629215286)), (320.0, 'DD', np.float64(0.1323716900507557)), (320.0, 'MD', np.float64(0.018107627650105918)), (320.0, 'PD', np.float64(0.10168160171865258)), (360.0, 'DD', np.float64(0.13077873166620346)), (360.0, 'MD', np.float64(0.014724776354829376)), (360.0, 'PD', np.float64(0.10051189733331058))]"
10,30,30,30,30.0,-0.026784769247620223,1.2885202500607364e-18,4.282200097844255,4.167502356351361,"[(0.0, 'DD', 0.2), (0.0, 'MD', 0.2727272727272727), (0.0, 'PD', np.float64(0.2957887809555592)), (33.333333333333336, 'DD', np.float64(0.26778710875381107)), (33.333333333333336, 'MD', np.float64(0.2235457277527715)), (33.333333333333336, 'PD', np.float64(0.26537792819142475)), (66.66666666666667, 'DD', np.float64(0.2464822865059055)), (66.66666666666667, 'MD', np.float64(0.14925946632198633)), (66.66666666666667, 'PD', np.float64(0.20115971454434484)), (100.0, 'DD', np.float64(0.20095428943684945)), (100.0, 'MD', np.float64(0.09611899676352756)), (100.0, 'PD', np.float64(0.15544861333716123)), (133.33333333333334, 'DD', np.float64(0.16342874637793553)), (133.33333333333334, 'MD', np.float64(0.062321487031884754)), (133.33333333333334, 'PD', np.float64(0.1276135190782155)), (166.66666666666669, 'DD', np.float64(0.13990259274441735)), (166.66666666666669, 'MD', np.float64(0.04130857547367107)), (166.66666666666669, 'PD', np.float64(0.11173202940941804)), (200.0, 'DD', np.float64(0.1269304910782282)), (200.0, 'MD', np.float64(0.02830495021058672)), (200.0, 'PD', np.float64(0.10298713450336866)), (233.33333333333334, 'DD', np.float64(0.12021049786279671)), (233.33333333333334, 'MD', np.float64(0.020265653917989943)), (233.33333333333334, 'PD', np.float64(0.0982665803438973)), (266.6666666666667, 'DD', np.float64(0.11681258245538645)), (266.6666666666667, 'MD', np.float64(0.015296520061574299)), (266.6666666666667, 'PD', np.float64(0.09574546524476871)), (300.0, 'DD', np.float64(0.11509401310797171)), (300.0, 'MD', np.float64(0.012225212154857038)), (300.0, 'PD', np.float64(0.09440612000377652))]"
10,35,35,35,35.0,-0.030210684690820735,1.9327803750911046e-18,4.177596574946545,4.0513885220553805,"[(0.0, 'DD', 0.2), (0.0, 'MD', 0.2727272727272727), (0.0, 'PD', np.float64(0.28656934127970884)), (28.571428571428573, 'DD', np.float64(0.2704173845410237)), (28.571428571428573, 'MD', np.float64(0.22649027210657025)), (28.571428571428573, 'PD', np.float64(0.26856057926906585)), (57.142857142857146, 'DD', np.float64(0.24748789253888775)), (57.142857142857146, 'MD', np.float64(0.15013395011449987)), (57.142857142857146, 'PD', np.float64(0.20452772403034192)), (85.71428571428572, 'DD', np.float64(0.19722432060244552)), (85.71428571428572, 'MD', np.float64(0.09428337487773487)), (85.71428571428572, 'PD', np.float64(0.15572660433002472)), (114.28571428571429, 'DD', np.float64(0.15531737268314252)), (114.28571428571429, 'MD', np.float64(0.059244509295420696)), (114.28571428571429, 'PD', np.float64(0.12511109777938606)), (142.85714285714286, 'DD', np.float64(0.1291182596247283)), (142.85714285714286, 'MD', np.float64(0.03800711841468034)), (142.85714285714286, 'PD', np.float64(0.10742410034169561)), (171.42857142857144, 'DD', np.float64(0.11488546983902741)), (171.42857142857144, 'MD', np.float64(0.025241905048021644)), (171.42857142857144, 'PD', np.float64(0.09766600348045316)), (200.0, 'DD', np.float64(0.10767896655701881)), (200.0, 'MD', np.float64(0.017584970270997185)), (200.0, 'PD', np.float64(0.09242006082883619)), (228.57142857142858, 'DD', np.float64(0.1041269404829707)), (228.57142857142858, 'MD', np.float64(0.012994536176782694)), (228.57142857142858, 'PD', np.float64(0.0896370688176728)), (257.14285714285717, 'DD', np.float64(0.10237010101785744)), (257.14285714285717, 'MD', np.float64(0.010242885755827016)), (257.14285714285717, 'PD', np.float64(0.08816843922328715))]"
10,40,40,40,40.0,-0.03448786623380708,0.0,4.086645308086316,3.9457056313560193,"[(0.0, 'DD', 0.2), (0.0, 'MD', 0.2727272727272727), (0.0, 'PD', np.float64(0.28)), (25.0, 'DD', np.float64(0.272444269282718)), (25.0, 'MD', np.float64(0.22792358981240776)), (25.0, 'PD', np.float64(0.2714486056680724)), (50.0, 'DD', np.float64(0.2481624554473746)), (50.0, 'MD', np.float64(0.14944022489826456)), (50.0, 'PD', np.float64(0.2072950896988694)), (75.0, 'DD', np.float64(0.19395029005266962)), (75.0, 'MD', np.float64(0.09173961782980063)), (75.0, 'PD', np.float64(0.15558706393369753)), (100.0, 'DD', np.float64(0.14838967615929372)), (100.0, 'MD', np.float64(0.055963230943126906)), (100.0, 'PD', np.float64(0.12239948500774733)), (125.0, 'DD', np.float64(0.12002155406679509)), (125.0, 'MD', np.float64(0.0347945057627056)), (125.0, 'PD', np.float64(0.10307587350799097)), (150.0, 'DD', np.float64(0.10483791937752533)), (150.0, 'MD', np.float64(0.02242827683129548)), (150.0, 'PD', np.float64(0.09243432873632039)), (175.0, 'DD', np.float64(0.09732188635844873)), (175.0, 'MD', np.float64(0.015230198866167673)), (175.0, 'PD', np.float64(0.08675774748612561)), (200.0, 'DD', np.float64(0.09371127735887996)), (200.0, 'MD', np.float64(0.011044702823311258)), (200.0, 'PD', np.float64(0.08377764406151492)), (225.0, 'DD', np.float64(0.09196600600308927)), (225.0, 'MD', np.float64(0.00861168573378864)), (225.0, 'PD', np.float64(0.08222115292074555))]"
15,5,5,5,5.0,-0.019886726358503012,6.442601250303682e-19,5.4527628482550705,5.344325245594009,
15,10,10,10,10.0,-0.019631830826462294,1.2885202500607364e-18,5.048898970649665,4.949779840197972,
15,15,15,15,15.0,-0.021150460315554433,1.2885202500607364e-18,4.772847538968416,4.671899616503271,
