DD_freq,MD_freq,PD_freq,num_pulses,DD_response,MD_response,PD_response,individual_sum,integrated_response,interaction_coefficient,interaction_sem,interaction_std,mean_frequency,n_trials,cv
30,40,5,3,0.7004096748069885,0.7505240082379446,0.7932427477101884,2.2441764307551213,2.2141048205795264,-0.00954363354548755,0.015168137391210283,0.08168291966892659,25.0,30,0.2
30,40,10,3,0.712857263289892,0.7513596300045926,0.7443950937160683,2.208611987010553,2.2079306398199767,0.0027698412419533544,0.01519444397474569,0.08182458495677741,26.666666666666668,30,0.2
30,40,15,3,0.6999539336361081,0.7530522438563568,0.7454862083455016,2.1984923858379664,2.2052070038081895,0.0049033886397438,0.011569136323742877,0.06230170577956161,28.333333333333332,30,0.2
30,40,20,3,0.7112654272849196,0.7335064474681643,0.6475717442483718,2.092343619001456,2.112019601293847,0.010848870877801174,0.011962346799148075,0.06441920899351028,30.0,30,0.2
30,40,30,3,0.7095453335146708,0.7332958000553338,0.6700511397536151,2.1128922733236197,2.11470391406351,0.0039486424337593,0.014580321215130336,0.07851743268443648,33.333333333333336,30,0.2
30,40,40,3,0.7087955028259237,0.7585951690343123,0.6999650779989289,2.167355749859165,2.1589086190645097,-0.0027411660915668853,0.009962512635605615,0.05364977243589617,36.666666666666664,30,0.2
40,1,1,3,0.7283022879508062,0.7196763149202344,0.9517775867716743,2.399756189642715,2.4178835027456858,0.012885008539148427,0.017483723889116003,0.0941527345853243,14.0,30,0.2
40,1,5,3,0.7109446822159615,0.7427120713212606,0.7980369492179523,2.2516937027551744,2.263046191638462,0.00934082036058496,0.01572062832142751,0.0846581743825934,15.333333333333334,30,0.2
40,1,10,3,0.7259393702486936,0.7155890938860391,0.7557296016502536,2.1972580657849865,2.1516405825380702,-0.019346038162335908,0.014192338070015784,0.07642807950560422,17.0,30,0.2
40,1,15,3,0.7149163191466171,0.728580856688264,0.7405153728801473,2.1840125487150295,2.211814252500493,0.014241951097489299,0.011761731158861467,0.06333886070767811,18.666666666666668,30,0.2
40,1,20,3,0.7039709164396762,0.7253400341227073,0.6516832555530061,2.0809942061153897,2.1042154487261966,0.013789068926962095,0.015535541655695335,0.08366145218402261,20.333333333333332,30,0.2
40,1,30,3,0.7314909456039741,0.72393351289249,0.6788221647154405,2.134246623211905,2.0977609386982956,-0.015242424584522195,0.012514763788395887,0.06739406552287082,23.666666666666668,30,0.2
40,1,40,3,0.7108654726414462,0.7261460848457136,0.6811556186281679,2.118167176115328,2.11004965958661,-0.0015671463813805159,0.010573422561985969,0.05693962307176879,27.0,30,0.2
