frequency_hz,pulse_number,response_mean_percent,response_sem_percent,tau_rec,tau_facil,U,n_trials,cv
30,10,60.881188501431424,1.831795771330319,184.0,52.5,0.2135,30,0.2
40,1,99.99999999999999,0.0,184.0,52.5,0.2135,30,0.2
40,2,118.07880099616175,2.828996085546651,184.0,52.5,0.2135,30,0.2
40,3,102.40758692815598,2.362432267124599,184.0,52.5,0.2135,30,0.2
40,4,83.1983739706332,1.509382730910163,184.0,52.5,0.2135,30,0.2
40,5,69.41941751696623,1.1210992391791073,184.0,52.5,0.2135,30,0.2
40,6,61.03779250352496,1.058263033898719,184.0,52.5,0.2135,30,0.2
40,7,56.261022139686375,1.0881499064978883,184.0,52.5,0.2135,30,0.2
40,8,53.60699781255002,1.129608445442653,184.0,52.5,0.2135,30,0.2
40,9,52.14323407779771,1.1655301825241666,184.0,52.5,0.2135,30,0.2
40,10,51.33484907413711,1.1932761009222217,184.0,52.5,0.2135,30,0.2
