condition_name,DD_freq,MD_freq,PD_freq,n_pulses,interaction_coefficient,mean_frequency,frequency_spread,DD_resource_util,MD_resource_util,PD_resource_util
Sweep_DD10_MD10_PD15,10,10,15,10,3.7441848991510965e-16,11.666666666666666,5,0.39182588659203965,0.8950231859240758,0.6724833588068815
Sweep_DD10_MD10_PD20,10,10,20,10,-0.06720223716880695,13.333333333333334,10,0.39182588659203965,0.8950231859240758,0.7398908987867295
Sweep_DD10_MD10_PD30,10,10,30,10,-0.07321394003748197,16.666666666666668,20,0.39182588659203965,0.8950231859240758,0.8223016277935695
Sweep_DD10_MD10_PD40,10,10,40,10,3.7146673413818395e-16,20.0,30,0.39182588659203965,0.8950231859240758,0.7366375165404055
Sweep_DD10_MD20_PD1,10,20,1,10,-1.4313313047204966e-16,10.333333333333334,19,0.39182588659203965,0.94112356715843,0.03944470373080322
Sweep_DD10_MD20_PD5,10,20,5,10,0.0,11.666666666666666,15,0.39182588659203965,0.94112356715843,0.3698790301312871
Sweep_DD10_MD20_PD10,10,20,10,10,1.811530360264717e-16,13.333333333333334,10,0.39182588659203965,0.94112356715843,0.5672168539578211
Sweep_DD10_MD20_PD15,10,20,15,10,3.7789330630883054e-16,15.0,10,0.39182588659203965,0.94112356715843,0.6724833588068815
Sweep_DD10_MD20_PD20,10,20,20,10,-0.0677977803581685,16.666666666666668,10,0.39182588659203965,0.94112356715843,0.7398908987867295
Sweep_DD10_MD20_PD30,10,20,30,10,3.6807196833190197e-16,20.0,20,0.39182588659203965,0.94112356715843,0.644013566608081
Sweep_DD10_MD20_PD40,10,20,40,10,1.8744336416555213e-16,23.333333333333332,30,0.39182588659203965,0.94112356715843,0.7366375165404055
Sweep_DD20_MD10_PD1,20,10,1,10,0.0,10.333333333333334,19,0.6610553804733245,0.8950231859240758,0.03944470373080322
Sweep_DD20_MD10_PD5,20,10,5,10,0.0,11.666666666666666,15,0.6610553804733245,0.8950231859240758,0.3698790301312871
Sweep_DD20_MD10_PD10,20,10,10,10,1.869030778311617e-16,13.333333333333334,10,0.6610553804733245,0.8950231859240758,0.5672168539578211
Sweep_DD20_MD10_PD15,20,10,15,10,1.9521065168059361e-16,15.0,10,0.6610553804733245,0.8950231859240758,0.6724833588068815
Sweep_DD20_MD10_PD20,20,10,20,10,-0.06994083836492165,16.666666666666668,10,0.6610553804733245,0.8950231859240758,0.7398908987867295
Sweep_DD20_MD10_PD30,20,10,30,10,1.8997349891708576e-16,20.0,20,0.6610553804733245,0.8950231859240758,0.644013566608081
Sweep_DD20_MD10_PD40,20,10,40,10,-1.936064589071883e-16,23.333333333333332,30,0.6610553804733245,0.8950231859240758,0.7366375165404055
Sweep_DD20_MD20_PD1,20,20,1,10,0.0,13.666666666666666,19,0.6610553804733245,0.94112356715843,0.03944470373080322
Sweep_DD20_MD20_PD5,20,20,5,10,0.0,15.0,15,0.6610553804733245,0.94112356715843,0.3698790301312871
Sweep_DD20_MD20_PD10,20,20,10,10,0.0,16.666666666666668,10,0.6610553804733245,0.94112356715843,0.5672168539578211
Sweep_DD20_MD20_PD15,20,20,15,10,1.9710049850317932e-16,18.333333333333332,5,0.6610553804733245,0.94112356715843,0.6724833588068815
Sweep_DD20_MD20_PD20,20,20,20,10,1.8784434809802667e-16,20.0,0,0.6610553804733245,0.94112356715843,0.4929294124945056
Sweep_DD20_MD20_PD30,20,20,30,10,1.917628388023673e-16,23.333333333333332,10,0.6610553804733245,0.94112356715843,0.644013566608081
Sweep_DD20_MD20_PD40,20,20,40,10,0.0,26.666666666666668,20,0.6610553804733245,0.94112356715843,0.7366375165404055
